customer_id,full_name,email,phone_number,signup_date,status
0.0,Richard Allen,,8226146156,2023-13-01,inactive
1.0,Jim Curtis,rrodriguez@gmail.com,invalid,2023-13-01,ACTIVE
2.0,Marissa Vazquez,,587.508.2648,2023-13-01,active
3.0,Laurie Carlson,patrick30@may.com,+1-735-152-4804x03726,,Act
4.0,Wesley Frederick,justin98@yahoo.com,580.609.5137x02556,2019-05-11,inactive
5.0,Patricia Kim,jeffersonfrederick@gmail.com,4915247600,,inactive
6.0,Ricky Ryan,christinareed@gmail.com,001-712-255-8965,2023-13-01,active
7.0,Ronald Thomas,smithdenise@yahoo.com,(261)602-6271x44574,1971/12/08,ACTIVE
,Matthew Juarez,jonathan64@yahoo.com,722.715.5599,2023-13-01,active
9.0,Cameron Durham,udunlap@hotmail.com,503.573.4326x938,1996/12/06,inactive
10.0,Chris Larsen,vernonparker@hotmail.com,003-375-3391,2023-13-01,inactive
11.0,Christopher Edwards,alexis43@hotmail.com,(691)183-7551x42303,22-08-1987,Act
12.0,Jamie Johnson,tylercrawford@eaton.com,456.754.9128,1987-12-16,ACTIVE
13.0,Jon Mitchell,rachel48@olson.com,+1-901-280-5745x8467,1994/01/02,Act
14.0,Timothy Reed,vhodge@mclaughlin.biz,(887)080-4290x32060,,ACTIVE
15.0,Renee Boyle,gonzalesjonathan@yahoo.com,+1-169-519-8690x876,1984/08/25,active
16.0,Aaron Wright,omoore@gmail.com,+1-287-989-9908x3763,1992-06-30,Act
,Brenda Dickerson,,001-088-507-3149x5847,2021/06/04,Active
18.0,Audrey Powell,sarahscott@patterson.com,827-541-6679x897,12-07-1994,active
19.0,Richard Marshall,,815.788.9400x4534,11-10-1998,active
20.0,Caroline Williams,,(234)296-5398x62775,13-06-1971,ACTIVE
21.0,Christopher Reyes,dylanramirez@yahoo.com,815-730-8231x8966,1979/12/01,ACTIVE
22.0,Diane Hickman,ilawson@yahoo.com,+1-826-003-5985x33850,1985/11/09,inactive
23.0,Steven Mills,gherrera@hotmail.com,(124)237-3127x3546,2000-08-03,ACTIVE
,Joseph Reed,,invalid,,ACTIVE
25.0,Matthew Meyer,shafferjennifer@huerta.org,001-423-070-7316,1984/12/04,
26.0,Hannah Gallegos,kdickerson@yahoo.com,(499)800-5745,10-01-2014,active
27.0,Michael Meadows,nicholstimothy@burton.net,invalid,1981/07/25,inactive
28.0,Monica Hartman,lisamorales@patterson.com,894.948.5301x1834,05-09-1988,
29.0,Andrew Hall,brianrivera@yahoo.com,864.029.3470x29186,2014/07/30,active
30.0,William West,probinson@bailey.info,(920)568-4777x30384,,Active
31.0,Daniel Wright,walkervictoria@armstrong.com,001-753-666-0126x3635,,Act
32.0,William Smith,elizabethsolis@gmail.com,001-725-838-9397x10611,2023-13-01,inactive
33.0,Mr. Andrew Schwartz,teresakelly@davis.com,001-668-976-5675x525,2008/03/13,active
